Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,TotalGoals,Over25,BTTS,Status
2024-11-30,Como,Monza,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-11-30,AC Milan,Empoli,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-11-30,Bologna,Venezia,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-12-01,Udinese,Genoa,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-12-01,Torino,Napoli,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-12-01,Parma,Lazio,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-12-01,Lecce,Juventus,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-12-02,AS Roma,Atalanta,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-12-06,Inter,Parma,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-12-06,Atalanta,AC Milan,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-12-07,Genoa,Torino,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-12-07,Juventus,Bologna,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-12-07,AS Roma,Lecce,4,1,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-12-08,Fiorentina,Cagliari,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-12-08,Hellas Verona,Empoli,1,4,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-12-08,Venezia,Como,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-12-08,Napoli,Lazio,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-12-09,Monza,Udinese,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-12-13,Empoli,Torino,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-12-14,Cagliari,Atalanta,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-12-14,Udinese,Napoli,1,3,A,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-12-14,Juventus,Venezia,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-12-15,Lecce,Monza,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-12-15,Bologna,Fiorentina,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-12-15,Parma,Hellas Verona,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-12-15,Como,AS Roma,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
